-1.331231,-0.898097
0.267524,0.639420
0.902517,-0.193677
-0.029266,-1.277735
-0.758719,-0.573013
1.527131,0.743806
-0.283156,-2.618699
-0.836674,-0.155669
0.655649,-2.485406
1.029195,0.394761
1.850675,-1.213022
-1.979003,0.552062
2.545960,-1.096038
2.153026,-0.453425
-0.496846,-3.224371
-2.672291,1.186109
0.539099,0.381515
-0.760411,-1.855491
-0.651967,0.237555
0.375875,-0.060317
0.272107,0.939631
-0.277171,0.104481
-0.081474,1.240898
1.664974,-1.561289
1.585860,-0.157841
-2.208580,-1.109012
2.066999,-1.682785
-1.046950,0.837593
1.701752,0.361405
-2.389508,-0.598931
-0.468004,-0.063070
0.043434,-0.973729
-0.986526,0.169264
0.267884,1.626225
3.236945,-0.045928
-1.999827,-1.606238
-1.556410,1.876081
-0.322518,0.375805
0.035091,-1.635304
0.584589,0.834777
1.218012,0.612807
-0.611565,-1.480335
1.534478,-1.899785
1.402531,0.285985
-0.933359,1.184354
0.994131,0.072766
0.320230,-0.792203
-1.804467,-0.358944
-0.184277,0.653449
1.224566,-2.183334
-2.221610,-2.780198
0.579445,-0.890148
-2.177054,-1.948236
-2.926002,-1.759062
2.626912,-0.078941
1.940506,0.089498
1.313756,-3.138660
2.651254,0.452168
-1.024026,-0.446907
1.382418,-0.546391
-1.081396,-1.556146
0.412015,-1.152106
0.900370,-0.939012
0.024866,0.387477
1.650390,-1.009483
-2.591043,-0.968689
-0.007548,0.074508
0.688011,0.102910
-1.183442,-0.203945
-1.500803,-0.300013
-2.991677,0.118217
-1.977976,-0.708691
-1.372049,1.335673
-0.754561,0.806876
2.516979,-0.527105
1.130500,-0.728652
0.532260,-1.485888
1.354256,2.337605
2.571969,-1.746628
-1.288250,-2.237505
-0.571260,-0.871399
0.782003,2.720863
-0.591474,1.645019
-0.436129,-0.603166
-1.259026,0.140100
0.052272,-3.018763
1.579398,-2.396547
-3.166987,-1.148815
0.034129,-0.383850
-1.986901,1.587275
-0.406531,-1.928335
2.445117,1.711533
2.366225,0.879356
1.067897,-2.590321
-2.109900,0.964840
-2.213084,0.206484
0.221415,-2.574805
-0.955456,-0.830277
-1.647926,-1.147749
-2.911324,-0.494989
2.202511,-1.261485
1.914982,2.114618
-1.012879,1.582631
-1.600112,-0.003066
0.774166,-0.444411
1.037431,1.842652
-0.881044,-1.429715
-0.555686,-0.329363
1.683341,-0.602368
0.687316,-1.836234
1.153922,1.071544
0.051344,-3.574849
1.884070,0.729490
1.339565,-0.958775
0.408203,-2.207677
-0.227659,1.950201
0.641520,1.122887
1.523646,1.077959
-1.025307,-3.252136
1.868730,1.466923
0.912726,-1.566509
-1.154541,-1.118606
2.270714,0.015059
0.258305,-1.399318
1.202542,1.414867
2.023005,-2.155540
0.770360,-1.255966
-1.602078,-2.990661
1.504593,1.677811
0.323148,0.284921
-1.425711,0.877701
-0.577051,1.283489
-1.741882,1.030008
-1.365290,-1.399476
-1.278267,-1.873532
-0.939788,-2.191998
1.829155,-0.272255
0.942887,0.853627
3.082980,-1.390673
2.048140,-0.812063
-1.248773,-0.559361
0.595976,-2.915752
1.986148,1.118892
-1.922554,-1.123742
-0.064514,-2.333621
-1.685229,-2.436023
-1.861453,0.160054
-1.589972,0.462439
-0.518708,-2.281953
-2.490980,-2.247853
-0.177020,-0.692170
0.337445,-1.799835
0.024762,2.544824
-2.124228,-0.315231
0.786784,0.532638
2.198589,0.447828
0.256533,1.243378
1.239046,-1.760054
1.335749,-1.356798
2.960785,-0.694530
1.879796,-2.854800
-1.032574,2.146299
-1.289653,0.530052
1.334007,-0.015920
0.799971,1.424813
-0.042026,-1.964188
0.401954,-0.465097
-0.324275,-1.618476
0.825787,-3.409962
3.139063,0.616474
0.205251,2.019903
-1.726113,-2.020912
0.847356,-2.079694
-0.309427,-0.987770
2.495756,-2.390890
0.665080,1.682865
-0.905917,0.437781
-2.428886,-0.074629
0.625415,2.144758
-1.581155,-0.736069
-0.230199,-0.296186
1.204177,-0.327794
0.783365,-0.677547
-0.692363,-2.666740
-2.476620,-1.491059
-2.598651,0.578500
0.563363,-0.201506
1.072875,-1.231528
-0.760777,-1.105511
0.064732,-0.660552
-0.405483,0.998333
0.144721,-0.155985
-0.052098,0.880505
-1.176979,-2.698607
-0.197741,1.523015
-0.567214,0.565439
2.785670,1.207304
-0.548540,2.395014
-1.625115,-1.610409
-0.329989,-1.287507
